name,parent
Campbell data logger w/ complete sensor data,Sensors
Don's Co-Deployment Sensor 1,Sensors
Don's Co-Deployment Sensor 2,Sensors
dwb_gateway_a,Sensors
Gund Field,Sensors
High Roller Humidity,Sensors
High Roller temperature,Sensors
huzzah_001,Sensors
huzzah_002,Sensors
Knuth_Test_One,Sensors
Nuvu BR,Sensors
Quahog A2 Test One,Sensors
Quahog Cellular Test,Sensors
Quahog Test Boot One,Sensors
quahog_001,Sensors
quahog_elec_fence,Sensors
quahog_tuckaway_001,Sensors
quahog_WNF_001,Sensors
satelllite monitor,Sensors
SB_ESP32,Sensors
SB_ESP32_001,Sensors
SHCC2018 Quahog One,Sensors
SHCC2018 Quahog Two,Sensors
Test,Sensors
Test Sensor,Sensors
test_quahog_post,Sensors
UVM Test One,Sensors
Mike,Farm Manager
Nell Campbell,Farm Manager
OpenTEAM,Farm Manager
Rbryan,Farm Manager
Rick,Farm Manager
RJ,Farm Manager
Simone Schenkel,Farm Manager
SJ,Farm Manager
teenag,Farm Manager
Tom Ianello,Farm Manager
Tom-Interns,Farm Manager
Worth,Farm Manager
Wsssladies,Farm Manager
Alix,Farm Manager
Ben,Farm Manager
Ben Gotschall,Farm Manager
Britt,Farm Manager
chrowe,Farm Manager
Cora Kerber,Farm Manager
David,Farm Manager
Don,Farm Manager
Dorn,Farm Manager
Eliza,Farm Manager
Haden Gooch,Farm Manager
Jeff Herrick,Farm Manager
jgrady,Farm Manager
Josh Harlan,Farm Manager
Katherine,Farm Manager
Kyle,Farm Manager
Leah Puro,Farm Manager
madeleineking,Farm Manager
Matt,Farm Manager
Abigial Smith,Farm Worker
Corinne,Farm Worker
Josh Harlan,Farm Worker
Kelly O'Connell,Farm Worker
Tierney,Farm Worker
Stephanie Strom,Farm Viewer
Sarah Littlefield,Farm Viewer
Nick Honegger,Farm Viewer
Dan_Kane,Farm Viewer
Jeremy,Farm Viewer
Lauren Robertson,Farm Viewer
Dorn,Farm Account Admin
Leah Puro,Farm Account Admin
